Proposition,Nom d&apos;auteur,Âge,Département,Nb de votes,% pour,% contre,% neutre,theme,cluster_id,judge_score,judge_suggestion
Il faut arrêter de tondre les pelouses au lieu de ramasser les déchets dans les communes.,Estelle,52.0,,303,0.337,0.282,0.381,Waste Reduction and Recycling,18,0.0,Entretien des espaces verts
"Il faut se débarrasser des écolos politiques, qui ne sont pas plus écolos qu&apos;un Coréen du Nord ou un brésilien en Amazonie.",Alain,75.0,,305,0.504,0.267,0.228,Environmental Protection,8,0.0,Politique environnementale
Il faut inciter les agriculteurs à faire de la production locale et non intensive.,Guillaume,35.0,,298,0.741,0.152,0.107,Sustainable Agriculture,14,1.0,
"Il faut réduire ses déchets (moins de suremballages, compost des déchets organiques, respect du tri) et arrêter les déchets en pleine nature",Estelle,56.0,75.0,296,0.941,0.021,0.038,Waste Reduction and Recycling,18,1.0,
Il faut inscrire dans la constitution l&apos;interdiction d&apos;industrialiser les secteurs primaires.,Guillaume,43.0,,294,0.543,0.11,0.347,Biomass and Forest Management,2,1.0,
Il faut établir plus de plans nationaux d&apos;action pour conventionner avec les mairies des espaces conservatoires pour les espèces en danger.,Marie-Claire,56.0,972.0,295,0.716,0.151,0.133,Biomass and Forest Management,2,1.0,
"Il faut valoriser les métiers de l&apos;environnement (salaires, communication, reconnaissance, etc.)",Marc,27.0,974.0,296,0.795,0.045,0.16,Citizen Engagement and Education,3,1.0,
Il faut conserver les banquettes de posidonie et la laisse de mer sur les plages françaises.,Fondation de la Mer,,,315,0.698,0.029,0.272,Environmental Protection,8,1.0,
Il faut que l&apos;Éducation soit le centre de toutes les préoccupations.,Mr Clare&apos;s poetry club for the lonely souls,51.0,,296,0.794,0.042,0.164,Citizen Engagement and Education,3,1.0,
Il faut encourager l&apos;utilisation des contenants réutilisables.,benoit,47.0,50.0,297,0.937,0.015,0.048,Waste Reduction and Recycling,18,1.0,
Il faut admettre que le système actuel est défaillant et restructurer nos modes de pensée pour y intégrer une véritable conscience du vivant,Coriandre,27.0,,298,0.662,0.133,0.205,Environmental Protection,8,1.0,
"Il faut réduire l&apos;utilisation des machines en réapprenant à collaborer avec les animaux de travail : chevaux, ânes, boeufs...",PALMAR,42.0,13.0,306,0.439,0.382,0.179,Environmental Protection,8,1.0,
