cluster_id,theme,proposition,pertinente
0,Agriculture et biodiversité,Il faut créer une masse d&apos;agriculteurs au lieu d&apos;une agriculture de masse,1
0,Agriculture et biodiversité,Il faut comprendre que l&apos;on ne peut pas imposer un modèle sur un autre dans la production agricole et sylvicole,1
0,Agriculture et biodiversité,Il faut favoriser l&apos;installation agricole sur des micro-fermes à taille humaine et circuit court,1
0,Agriculture et biodiversité,"Il faut une TVA réduite, qui favorise les artisans, agriculteurs et industries qui ont un impact favorable à la biodiversité.",1
0,Agriculture et biodiversité,Il faut renforcer le développement local de cultures biologiques diversifiées et associées pour limiter l&apos;importation de produits agricoles.,1
0,Agriculture et biodiversité,Il faut savoir qu une exploitation agricole bio a un bilan carbone 21 % plus élevé qu&apos;une exploitation non bio. (source anglaise),1
0,Agriculture et biodiversité,Il faut valoriser et encourager l&apos;autonomie alimentaire et l&apos;agriculture plus responsable et moins intensive.,1
0,Agriculture et biodiversité,"Il faut favoriser l&apos;installation de petites surfaces agricoles, leur octroyer les terres en priorité.",1
0,Agriculture et biodiversité,"Il faut une refonte complète des politiques agricoles : meilleurs conditions et salaires, plus de travailleurs moins de produits et machines",1
0,Agriculture et biodiversité,Il faut inverser le système d&apos;aide agricole : encourager les petits biodiversifiés et moins aux gros consommateurs de chimie et hectares,1
0,Agriculture et biodiversité,Il faut nationaliser l&apos;agriculture en France afin d&apos;avoir une culture qualitative et non financière,1
0,Agriculture et biodiversité,Il faut renforcer les contrôles sanitaires dans les élevages et vérifier l&apos;application des engagements d&apos;écoresponsabilité signés.,1
0,Agriculture et biodiversité,Il faut encourager l&apos;agriculture bio française et locale,1
0,Agriculture et biodiversité,"Il faut accompagner massivement les agriculteurs à adopter des pratiques favorables à la qualité de l&apos;eau, du sol, l&apos;air et la biodiversité",1
0,Agriculture et biodiversité,Il faut encourager les élevages hypertechniques avec pratiques durables car ils peuvent financer la biodiversité par leur productivité,1
0,Agriculture et biodiversité,Il faut changer la perception négative des haies qui persiste pour de nombreux agriculteurs en développant des filières de valorisation.,1
0,Agriculture et biodiversité,"Il faut mieux subventionner l&apos;agriculture bio et la permaculture, notamment le coût de la main d’œuvre.",1
0,Agriculture et biodiversité,"Il faut subventionner l&apos;agriculture bio et cesser le financement d&apos;une production avec des coûts environnementaux, sociaux et sanitaires",1
0,Agriculture et biodiversité,Il faut complètement repenser la monoculture mondialisée à base d’intrants etc et revenir à des cultures variées en autonomie de territoire.,1
0,Agriculture et biodiversité,"Il faut laisser l&apos;OFB faire son travail auprès des agriculteurs fautifs : utilisation de produits prohibés, irrigation excessive, etc.",1
1,Protection de la biodiversité,Il faut obliger les propriétaires de vieux centres commerciaux à l&apos;abandon à les détruire pour laisser le terrain redevenir naturel.,1
1,Protection de la biodiversité,"Il faut que les jours de tonte des jardins soient restreints, chaque zone d’une ville a sa semaine afin d’éviter les nuisances sonores.",0
1,Protection de la biodiversité,Il faut que les communes cesse de planter des plantes mellifères au bord de certaines routes afin de préserver les insectes des automobiles.,1
1,Protection de la biodiversité,Il faut interdire de détruire les zones humides même si il y a une compensation ailleurs,1
1,Protection de la biodiversité,Il faut arrêter de tondre les pelouses au lieu de ramasser les déchets dans les communes.,1
1,Protection de la biodiversité,Il faut que les voitures thermiques et les tracteurs arrêtent de tourner quand le véhicule est à l&apos;arrêt.,1
1,Protection de la biodiversité,Il faut stopper urgemment les constructions de maison individuelle neuve et aider à la rénovation de bien existant.,1
1,Protection de la biodiversité,Il faut limiter le nombre de naissance par couple à maximum 4 ou 5 enfants.,1
1,Protection de la biodiversité,Il faut interdire la divagation des chats hors des terrains des propriétaires. Et équiper des zones fragiles d’ ultrason de dissuasion.,1
1,Protection de la biodiversité,Il faut sanctionner toute les collectivités qui ne font pas d’aménagement cyclable en agglomération comme ça leur est obligatoire (L228-2),1
1,Protection de la biodiversité,"Il faut arrêter de goudronner à outrance des cours, parking d&apos;immeubles, d&apos;écoles et laisser des espaces de terre.",1
1,Protection de la biodiversité,Il faut interdire en milieu rural les clôtures/palissades artificielles et imposer des haies pour clore les terrains des particuliers,1
1,Protection de la biodiversité,"Il faut arrêter l&apos;étalement urbain, il ne faut plus construire sur des terrains agricoles.",1
