cluster_id,assigned_theme,proposition,pertinente,suggested_theme
0,Transports plus respectueux,"obliger les sports polluants ou bruyants (course voiture, rally) de corriger l&apos;effet indésirable, ex. voiture solaire ou électrique",1,
0,Transports plus respectueux,créer un impôt conséquent aux trop aisés qui ont un mode de vie beaucoup plus énergivore et polluant qu&apos;un individu sobre et normal,1,
0,Transports plus respectueux,"une politique de transports en commun incitative et non punitive, de la location de voiture et de vélos partout.",1,
0,Transports plus respectueux,"interdire les panneaux publicitaires lumineux. Cela consomme de l’énergie, exige des investissements financés par la collectivité.",1,
0,Transports plus respectueux,que les bus et vélos soient gratuits pour les personnes à faibles revenus (transport doux),1,
0,Transports plus respectueux,limiter la quantité et évaluer la nécessité des déplacements professionnels par avion et voiture.,1,
0,Transports plus respectueux,"interdire tous les véhicules de type particulier de plus de 100 cv, moto inclus. Et faire de même pour l&apos;électrique.",1,
0,Transports plus respectueux,limiter le nombre de vols en avions possible dans une vie.,1,
0,Transports plus respectueux,rendre l&apos;installation de panneaux solaires beaucoup moins couteux pour les classes moyennes et basses sinon ce ne sera pas faisable.,0,Énergie renouvelable
0,Transports plus respectueux,"indexer les abonnements des d’énergies (eau, électricité) en fonction de sa consommation, moins tu consommes moins c’est cher.",0,Énergie et consommation
0,Transports plus respectueux,taxer les voyages en avion qui sont très gourmands en énergie,1,
0,Transports plus respectueux,"revenir sur les 40 dernières années et faire payer ceux qui sont responsables du réchauffement climatique, (multinationales...)",1,
0,Transports plus respectueux,inventer des moyens de transport moins lourds et moins polluants pour les petits trajets en zone rurale,1,
0,Transports plus respectueux,taxer les activités industrielles polluantes pour financer des projets de préservation.,1,
0,Transports plus respectueux,arrêter la course aux progrès technologiques.,0,Développement durable
0,Transports plus respectueux,"arrêter que tous ces bateaux pollueurs envahissent notre belle mer Méditerranée, les petits comme les gros.",1,
0,Transports plus respectueux,que l&apos;huile de palme coûte plus cher,0,Environnement et économie
0,Transports plus respectueux,"interdire aux entreprises le renouvellement trop fréquent des équipements informatiques (tel, pc)",0,Déchets et consommation
0,Transports plus respectueux,privilégier le transport de personnes avec des bateaux équipés de moteurs solaires et de toilettes sèches,1,
0,Transports plus respectueux,mettre la pression sur les plus riches,0,Réduction des inégalités
1,Gestion des déchets,que les fumeurs arrêtent de jeter leur mégots par terre et les reprendre si pris en flagrant délit.,1,
1,Gestion des déchets,supprimer les taxes ordures et que les concitoyens se rendent en direct à la décharge. Ainsi chacun sera responsable de son tri,1,
1,Gestion des déchets,"créer un maximum de centres de tris à proximité, pour mieux gérer les déchets et éviter qu&apos;ils polluent les eaux et terrains",1,
1,Gestion des déchets,interdire les décharges de déchets d&apos;aller dans la mer ou de les envoyer dans des pays en développement pour les polluer,1,
1,Gestion des déchets,"arrêter de produire des déchets, sauf les verts qui ne sont pas des déchets mais de l&apos;or.",1,
1,Gestion des déchets,revaloriser les déchets,1,
1,Gestion des déchets,désacraliser la méthanisation : le cycle/rendement est plus approprie en compostage pour les déchets végétaux !,1,
1,Gestion des déchets,créer une taxe pour les familles nombreuses générant plus d&apos;empreinte carbone et de déchets qu&apos;un couple avec animaux domestiques !,1,
1,Gestion des déchets,que les communes fournissent des composteurs domestiques gratuits pour réduire les déchets organiques et enrichir le sol.,1,
1,Gestion des déchets,"sanctionner plus sévèrement et dénoncer publiquement les personnes qui abandonnent déchets, encombrants, gravats, etc dans la nature",1,
1,Gestion des déchets,"nettoyer les cours d&apos;eau et distribuer des amandes conséquentes aux personnes qui jettent leurs déchets dans la rue (sacs, mégots)",1,
1,Gestion des déchets,que les paquebots puissent éviter de polluer la mer avec leur essence,1,
1,Gestion des déchets,"insister sur l&apos;éducation des plus jeunes au respect de l&apos;environnement, notamment multiplier les ramassages de détritus plastiques",1,
1,Gestion des déchets,"sensibiliser des le plus jeune age, a l’école, sur le fait que jeter mégots et autres déchets par terre, pollue et provoque des feux",1,
1,Gestion des déchets,forcer les multinationales à respecter l&apos;environnement : leur imposer de vraies limites et les sanctionner lourdement,1,
1,Gestion des déchets,que tout bateau ayant pratiqué dégazage ou déballastage directement en mer (et l&apos;entreprise responsable) soit interdit de navigation,1,
1,Gestion des déchets,mettre en place des amendes pour ceux qui jettent leur dechets non biodegradables dans la nature en se promenant ou en voiture.,1,
1,Gestion des déchets,arrêter de nuire aux espaces verts naturels. Déchets toxiques  et plus de budget pour une nature propre.,1,
1,Gestion des déchets,obliger les entreprises à payer la réparation des dégâts et des pollutions qu&apos;elles occasionnent,1,
1,Gestion des déchets,ramasser les déchets en bord de route avant de passer sur la banquette avec l&apos;épareuse,1,
2,Interdiction de la chasse,interdire les écobuages et les dérogations préfectorales les permettant,1,
2,Interdiction de la chasse,interdire la chasse le dimanche,1,
2,Interdiction de la chasse,interdire le commerce de la fourrure.,1,
2,Interdiction de la chasse,"interdire la chasse au moins deux jours par semaine, dont le dimanche et les jours fériés",1,
2,Interdiction de la chasse,punir la clôture des grands domaines de chasse en Sologne. C&apos;est interdit mais ils ne font rien.,1,
2,Interdiction de la chasse,savoir que la chasse avec des armes à feu est autorisée dès 16 ans.,0,Législation sur les armes
2,Interdiction de la chasse,"arrêter la chasse aux oiseaux , rien ne la justifie, les effectifs sont partout en baisse .",1,
2,Interdiction de la chasse,"interdire la chasse nocturne, où l&apos; on ne voit pas si type d&apos; espèce : protégée ou non",1,
2,Interdiction de la chasse,"interdire les huttes de chasse, véritable ""tir au pigeon"" !",1,
2,Interdiction de la chasse,que la chasse devienne une profession pour que son rôle de régulation soit fait correctement. Ça ne doit plus être un loisir.,0,Gestion de la faune
2,Interdiction de la chasse,interdire l&apos;élevage d&apos;animaux destinés à être relâchés pour la chasse.,1,
2,Interdiction de la chasse,interdire l&apos;exportation et l&apos;importation d&apos;animaux vivants.,0,Protection de la faune
2,Interdiction de la chasse,bannir les primes à la queue de ragondin.,0,Gestion de la faune
2,Interdiction de la chasse,interdire l&apos;apprentissage de la cruauté sur animaux telle que la corrida,1,
2,Interdiction de la chasse,"interdire les ""chasses"" en enclos et promouvoir les chasses naturelles, éthiques et respectueuses de l&apos;environnement",1,
2,Interdiction de la chasse,interdire la pêche et la chasse toute l&apos;année !,1,
2,Interdiction de la chasse,savoir que l’ingestion de plomb est à l’origine du saturnisme.,0,Santé publique
2,Interdiction de la chasse,interdire la chasse le dimanche et les pratiques cruelles comme la chasse à cours ou la venerie sous terre,1,
2,Interdiction de la chasse,progressivement interdire la chasse en France puis en Europe et changer de logiciel en réfutant le dogme de l&apos;anthoprocentrisme.,1,
2,Interdiction de la chasse,"interdire la ""chasse aux fermes"".",1,
3,Protection de la biodiversité,que chaque personne qui se sent concernée par cette question se mette en grève jusqu&apos;à ce que les dirigeants et lobbyes plient.,1,
3,Protection de la biodiversité,renforcer fortement les effectifs de la police de l&apos;environnement (OFB) afin de contrôler correctement les règles déjà existantes,1,
3,Protection de la biodiversité,redonner des moyens aux chercheurs et scientifiques,1,
3,Protection de la biodiversité,revoir entièrement les mesures de compensation qui ne prennent pas en compte les réalités écologiques des destructions des projets,1,
3,Protection de la biodiversité,réfléchir à une alliance entre un service rentable et la sobriété,1,
3,Protection de la biodiversité,"tripler les moyens publics des opérateurs de protection de la biodiversité (agences type OFB et FRB, recherche, associations, ONG).",1,
3,Protection de la biodiversité,restaurer les écosystèmes en priorisant leur résilience future au dérèglement climatique,1,
3,Protection de la biodiversité,penser la protection de la biodiversité par le prisme des 9 limites planétaires : 6 ont déjà été dépassé d’après les scientifiques.,1,
3,Protection de la biodiversité,"un fonds public pour financer l&apos;évaluation de la qualité des sols et pour leur sauvegarde (diagnostics, formations, restaurations).",1,
3,Protection de la biodiversité,supprimer le financement de l&apos;ARS afin de financer les travaux de distribution de l&apos;eau et de l&apos;assainissement.,0,Infrastructure et services publics
