Proposition,Nom d&apos;auteur,Âge,Département,Nb de votes,% pour,% contre,% neutre,theme,cluster_id
Il faut favoriser le reboisement urbain afin de baisser les températures des villes et de capter plus de CO2,Emilien,20.0,62.0,350,0.942,0.016,0.042,Environmental Protection,8
"Il faut stopper l’érosion des haies (-23 500km par an), puissant levier de transition écologique de nos territoires.",Fonds pour l&apos;arbre,,,545,0.941,0.012,0.047,Biomass and Forest Management,2
Il faut stopper l&apos;importation de produits agricoles traités avec des produits interdits en France,Michel,65.0,2.0,335,0.935,0.043,0.022,Sustainable Agriculture,14
Il faut réintégrer les arbres et les haies dans l’agriculture pour produire tout en protégeant la biodiversité grâce à l’agroforesterie,Association Française d&apos;AgroForesterie,,,460,0.93,0.024,0.046,Sustainable Agriculture,14
Il faut empêcher l&apos;importation de produits agricoles qui sont traités avec des produits interdits en France,Michel,65.0,2.0,323,0.947,0.034,0.02,Sustainable Agriculture,14
"Il faut replanter des haies pour éviter l&apos;érosion des sol, permettre d&apos;abriter la faune sauvage, arrêter les vents forts...",Céline,,,321,0.945,0.029,0.026,Environmental Protection,8
Il faut punir sévèrement ceux qui déversent des déchets dans la nature et alimentent les décharges sauvages,Estelle,56.0,75.0,317,0.949,0.011,0.04,Waste Reduction and Recycling,18
Il faut replanter des haies autour des champs afin de préserver la biodiversité,Skeeter,,,258,0.965,0.025,0.011,Biomass and Forest Management,2
"Il faut préserver, restaurer, maintenir en bon état écologique les zones humides (mares, marais, tourbières, etc.)",denis,51.0,62.0,295,0.954,0.028,0.018,Conservation of Biodiversity,5
"Il faut soutenir une agriculture protectrice du vivant permettant une alimentation saine, locale, pour tous",LPO France,,,1308,0.956,0.014,0.03,Sustainable Agriculture,14
"Il faut préserver les haies et les favoriser , les bocages sont sources de biodiversité",Emm,55.0,,278,0.929,0.033,0.037,Conservation of Biodiversity,5
Il faut végétaliser l&apos;espace public et en finir avec la bétonisation à outrance.,Eric,50.0,64.0,300,0.964,0.014,0.021,Urban Planning and Green Spaces,16
Il faut faire vraiment respecter la loi contre les décharges sauvages et l&apos;abandon des détritus,Emm,55.0,,320,0.957,0.01,0.032,Waste Reduction and Recycling,18
"Il faut traquer et être plus ferme avec ceux qui pratiquent la déchetterie sauvage, et/ou qui laissent leurs déchets dans la nature.",Pierre,33.0,,324,0.96,0.015,0.026,Waste Reduction and Recycling,18
